as_label,link,cell_label,cell_id
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Enterocyte,ASCTB-TEMP:enterocyte
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Paneth,ASCTB-TEMP:paneth
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Cycling B cell,ASCTB-TEMP:cycling-b-cell
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Tuft,ASCTB-TEMP:tuft
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,TRGV2 gdT,ASCTB-TEMP:trgv2-gdt
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Stem cells,ASCTB-TEMP:stem-cells
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,BEST4+ epithelial,ASCTB-TEMP:best4-epithelial
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Goblet cell,ASCTB-TEMP:goblet-cell
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,myofibroblast,ASCTB-TEMP:myofibroblast
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,EECs,ASCTB-TEMP:eecs
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Activated T,ASCTB-TEMP:activated-t
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Mature arterial EC,ASCTB-TEMP:mature-arterial-ec
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Branch A1 (iMN),ASCTB-TEMP:branch-a1-imn-
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Memory B,ASCTB-TEMP:memory-b
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Mesoderm 1 (HAND1+),ASCTB-TEMP:mesoderm-1-hand1-
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,STAT1+ Naive B,ASCTB-TEMP:stat1-naive-b
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Microfold cell,ASCTB-TEMP:microfold-cell
jejunum,https://portal.hubmapconsortium.org/browse/dataset/3de525fe3e5718f297e8d62e037a042d,Proximal progenitor,ASCTB-TEMP:proximal-progenitor
