reference_organ,as_label,cell_label,cell_id
Spleen,hilum of spleen,naive B cell,CL:0000788
Spleen,hilum of spleen,memory B cell,CL:0000787
Spleen,hilum of spleen,macrophage,CL:0000235
Spleen,hilum of spleen,classical monocyte,CL:0000860
Spleen,hilum of spleen,"CD4-positive, alpha-beta memory T cell",CL:0000897
Spleen,hilum of spleen,type I NK T cell,CL:0000921
Spleen,hilum of spleen,"CD8-positive, alpha-beta memory T cell",CL:0000909
Spleen,hilum of spleen,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895
Spleen,hilum of spleen,mature NK T cell,CL:0000814
Spleen,hilum of spleen,neutrophil,CL:0000775
Spleen,hilum of spleen,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900
Spleen,hilum of spleen,erythrocyte,CL:0000232
Spleen,hilum of spleen,innate lymphoid cell,CL:0001065
Spleen,hilum of spleen,endothelial cell,CL:0000115
Spleen,hilum of spleen,regulatory T cell,CL:0000815
Spleen,hilum of spleen,plasma cell,CL:0000786
Spleen,hilum of spleen,platelet,CL:0000233
Spleen,hilum of spleen,hematopoietic stem cell,CL:0000037
Spleen,diaphragmatic surface of spleen,naive B cell,CL:0000788
Spleen,diaphragmatic surface of spleen,memory B cell,CL:0000787
Spleen,diaphragmatic surface of spleen,macrophage,CL:0000235
Spleen,diaphragmatic surface of spleen,classical monocyte,CL:0000860
Spleen,diaphragmatic surface of spleen,"CD4-positive, alpha-beta memory T cell",CL:0000897
Spleen,diaphragmatic surface of spleen,type I NK T cell,CL:0000921
Spleen,diaphragmatic surface of spleen,"CD8-positive, alpha-beta memory T cell",CL:0000909
Spleen,diaphragmatic surface of spleen,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895
Spleen,diaphragmatic surface of spleen,mature NK T cell,CL:0000814
Spleen,diaphragmatic surface of spleen,neutrophil,CL:0000775
Spleen,diaphragmatic surface of spleen,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900
Spleen,diaphragmatic surface of spleen,erythrocyte,CL:0000232
Spleen,diaphragmatic surface of spleen,innate lymphoid cell,CL:0001065
Spleen,diaphragmatic surface of spleen,endothelial cell,CL:0000115
Spleen,diaphragmatic surface of spleen,regulatory T cell,CL:0000815
Spleen,diaphragmatic surface of spleen,plasma cell,CL:0000786
Spleen,diaphragmatic surface of spleen,platelet,CL:0000233
Spleen,diaphragmatic surface of spleen,hematopoietic stem cell,CL:0000037
Spleen,diaphragmatic surface of spleen,CD141-positive myeloid dendritic cell,CL:0002394
Spleen,hilum of spleen,CD141-positive myeloid dendritic cell,CL:0002394
Heart,heart right ventricle,Arterial Endothelial,CL:1000413
Heart,heart right ventricle,Fibroblast,CL:0000057
Heart,heart right ventricle,Ventricular Cardiomycoyte,CL:0002131
Heart,heart right ventricle,Macrophage,CL:0000235
Heart,heart right ventricle,T,CL:0000084
Heart,heart right ventricle,Capillary Endothelial,CL:0002144
Heart,heart right ventricle,Mesothelial,CL:0000077
Heart,heart right ventricle,B,CL:0000236
Heart,heart right ventricle,Mast,CL:0000097
Heart,heart right ventricle,Pericyte,CL:0000669
Heart,heart right ventricle,Venous Endothelial,CL:1000414
Heart,heart right ventricle,Adipocyte,CL:0000136
Heart,heart right ventricle,Neuronal,CL:0002573
Heart,heart right ventricle,Smooth Muscle,CL:0000192
Heart,heart right ventricle,Monocyte/cDC,CL:0011031
Heart,heart right ventricle,Lymphatic Endothelial,CL:0002138
Heart,heart right ventricle,Endocardial,CL:0002350
Heart,heart right ventricle,NK,CL:0000623
Heart,heart right ventricle,Atrial Cardiomyocyte,CL:0002129
Heart,heart right ventricle,Endothelial,CL:0000115
Heart,heart right ventricle,ILC,CL:0001065
Heart,heart right ventricle,PC1_vent,CL:0000669
Heart,heart right ventricle,LYVE1+IGF1+MP,CL:0000235
Heart,heart right ventricle,vCM1,CL:0002131
Heart,heart right ventricle,CD8+T_trans,CL:0000625
Heart,heart right ventricle,EC1_cap,CL:0002144
Heart,heart right ventricle,FB1,CL:0000057
Heart,heart right ventricle,CD4+T_naive,CL:0000895
Heart,heart right ventricle,aCM1,CL:0002129
Heart,heart right ventricle,EC7_endocardial,CL:0002350
Heart,heart right ventricle,SMC1_basic,CL:0000359
Heart,heart right ventricle,CD8+T_em,CL:0000913
Heart,heart right ventricle,EC6_ven,CL:0002543
Heart,heart right ventricle,CD16+Mo,CL:0002396
Heart,heart right ventricle,NK_CD16hi,CL:0000939
Heart,heart right ventricle,Adip1,CL:0000136
Heart,heart right ventricle,EC5_art,CL:1000413
Heart,heart right ventricle,CD14+Mo,CL:0002057
Heart,heart right ventricle,EC8_ln,CL:0002138
Heart,heart right ventricle,NC1_glial,CL:0010020
Heart,heart right ventricle,NK_CD56hi,CL:0000938
Heart,heart right ventricle,CD4+T_act,CL:0001043
Heart,heart right ventricle,DC,CL:0000451
Heart,heart right ventricle,EC4_immune,CL:0000115
Heart,heart right ventricle,B_plasma,CL:0000786
Heart,heart right ventricle,CD8+T_te,CL:0001050
Heart,heart right ventricle,MAIT-like,CL:0000791
Heart,heart left ventricle,Ventricular Cardiomycoyte,CL:0002131
Heart,heart left ventricle,Monocyte/cDC,CL:0011031
Heart,heart left ventricle,Fibroblast,CL:0000057
Heart,heart left ventricle,Capillary Endothelial,CL:0002144
Heart,heart left ventricle,Pericyte,CL:0000669
Heart,heart left ventricle,Arterial Endothelial,CL:1000413
Heart,heart left ventricle,B,CL:0000236
Heart,heart left ventricle,Macrophage,CL:0000235
Heart,heart left ventricle,Atrial Cardiomyocyte,CL:0002129
Heart,heart left ventricle,Venous Endothelial,CL:1000414
Heart,heart left ventricle,Mast,CL:0000097
Heart,heart left ventricle,T,CL:0000084
Heart,heart left ventricle,Endocardial,CL:0002350
Heart,heart left ventricle,NK,CL:0000623
Heart,heart left ventricle,Mesothelial,CL:0000077
Heart,heart left ventricle,Endothelial,CL:0000115
Heart,heart left ventricle,Smooth Muscle,CL:0000192
Heart,heart left ventricle,Neuronal,CL:0002573
Heart,heart left ventricle,Lymphatic Endothelial,CL:0002138
Heart,heart left ventricle,Adipocyte,CL:0000136
Heart,heart left ventricle,PC1_vent,CL:0000669
Heart,heart left ventricle,FB4_activated,CL:0000057
Heart,heart left ventricle,EC1_cap,CL:0002144
Heart,heart left ventricle,LYVE1+IGF1+MP,CL:0000235
Heart,heart left ventricle,vCM1,CL:0002131
Heart,heart left ventricle,aCM1,CL:0002129
Heart,heart left ventricle,CD16+Mo,CL:0002396
Heart,heart left ventricle,EC6_ven,CL:0002543
Heart,heart left ventricle,CD14+Mo,CL:0002057
Heart,heart left ventricle,NC1_glial,CL:0010020
Heart,heart left ventricle,DC,CL:0000451
Heart,heart left ventricle,CD4+T_naive,CL:0000895
Heart,heart left ventricle,EC5_art,CL:1000413
Heart,heart left ventricle,CD8+T_trans,CL:0000625
Heart,heart left ventricle,NK_CD16hi,CL:0000939
