donor_age,unique_dataset_id
,http://dx.doi.org/10.1681/ASN.2016091027#Donor1_TissueBlock1_TissueBlock1_Dataset1
,http://dx.doi.org/10.1681/ASN.2016091027#Donor2_TissueBlock1_TissueBlock1_Dataset1
,http://dx.doi.org/10.1681/ASN.2016091027#Donor3_TissueBlock1_TissueBlock1_Dataset1
38.0,http://purl.org/ccf/1.5/omap-1#Donor1_TissueBlock1_TissueBlock1_Dataset1
,http://purl.org/ccf/1.5/omap-6#Donor1_TissueBlock1_TissueBlock1_Dataset1
69.0,http://purl.org/ccf/10.1016/j.cell.2022.12.028#CRC01020
42.0,http://purl.org/ccf/16-WMA4#TissueBlock1_Dataset1
25.0,http://purl.org/ccf/16-WMAG#TissueBlock3_Dataset1
18.0,http://purl.org/ccf/16-WMAY#TissueBlock3_Dataset1
36.0,http://purl.org/ccf/16-WMEG#TissueBlock1_Dataset1
18.0,http://purl.org/ccf/16-WMEM#TissueBlock2_Dataset1
25.0,http://purl.org/ccf/16-WMER#TissueBlock1_Dataset1
17.0,http://purl.org/ccf/16-WMEW#TissueBlock1_Dataset1
25.0,http://purl.org/ccf/16-WMF0#TissueBlock2_Dataset1
34.0,http://purl.org/ccf/16-WMFE#TissueBlock1_Dataset1
18.0,http://purl.org/ccf/16-WMT4#TissueBlock1_Dataset1
25.0,http://purl.org/ccf/16-WMTJ#TissueBlock1_Dataset1
40.0,http://purl.org/ccf/16-WMTP#TissueBlock1_Dataset1
19.0,http://purl.org/ccf/APAP1#TissueBlock1_TissueBlock1_Dataset1
19.0,http://purl.org/ccf/APAP1#TissueBlock1_TissueBlock1_Dataset2
48.0,http://purl.org/ccf/APAP10#TissueBlock1_TissueBlock1_Dataset1
48.0,http://purl.org/ccf/APAP10#TissueBlock1_TissueBlock1_Dataset2
23.0,http://purl.org/ccf/APAP2#TissueBlock1_TissueBlock1_Dataset1
23.0,http://purl.org/ccf/APAP2#TissueBlock1_TissueBlock1_Dataset2
66.0,http://purl.org/ccf/APAP3#TissueBlock1_TissueBlock1_Dataset1
66.0,http://purl.org/ccf/APAP3#TissueBlock1_TissueBlock1_Dataset2
38.0,http://purl.org/ccf/APAP4#TissueBlock1_TissueBlock1_Dataset1
38.0,http://purl.org/ccf/APAP4#TissueBlock1_TissueBlock1_Dataset2
37.0,http://purl.org/ccf/APAP5#TissueBlock1_TissueBlock1_Dataset1
