ftu,ftu_label,as_label,ct_label,bm_label,ftu_as,as,ct,bm,bmType
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,SPP1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/11255,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,SPP1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/11255,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,CDH1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/1748,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,CDH1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/1748,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,CRYAB,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/2389,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,CRYAB,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/2389,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,VIM,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/12692,protein
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,VIM,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/12692,protein
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,SATB2,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/21637,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,SATB2,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/21637,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,VCAM1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/12663,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,VCAM1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/12663,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,SLC44A5,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/28524,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,SLC44A5,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/28524,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Podocyte,PTPRQ,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/9679,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Podocyte,NPHS1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/7908,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Podocyte,NPHS2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/13394,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Podocyte,PODXL,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/9171,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Parietal Epithelial Cell,CFH,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/4883,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Parietal Epithelial Cell,VIM,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/12692,protein
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Parietal Epithelial Cell,CRB2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/18688,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Parietal Epithelial Cell,VCAM1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/12663,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Parietal Epithelial Cell,ALDH1A2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/15472,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Mesangial Cell,PIEZO2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/26270,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Mesangial Cell,PDGFRB,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/8804,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Mesangial Cell,ITGA8,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/6144,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Mesangial Cell,ROBO1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/10249,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,kidney nephron,Renal Corpuscle,Mesangial Cell,POSTN,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/16953,gene
