FTU_partonomy	cell_type	CT_ID	CT_label	biomarker	Biomarker - type
kidney-->cortex of kidney-->outer cortex of kidney-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	NPHS2	gene
kidney-->cortex of kidney-->outer cortex of kidney-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	PODXL	gene
kidney-->cortex of kidney-->outer cortex of kidney-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	NPHS1	gene
kidney-->cortex of kidney-->outer cortex of kidney-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	PTPRQ	gene
kidney-->cortex of kidney-->juxtamedullary cortex-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	NPHS2	gene
kidney-->cortex of kidney-->juxtamedullary cortex-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	PODXL	gene
kidney-->cortex of kidney-->juxtamedullary cortex-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	NPHS1	gene
kidney-->cortex of kidney-->juxtamedullary cortex-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	PTPRQ	gene
kidney-->cortex of kidney-->medullary ray-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	AQP2	gene
kidney-->cortex of kidney-->medullary ray-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	AQP3	gene
kidney-->cortex of kidney-->medullary ray-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	FXYD4	gene
kidney-->cortex of kidney-->medullary ray-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	AQP2	gene
kidney-->cortex of kidney-->medullary ray-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	AQP3	gene
kidney-->cortex of kidney-->medullary ray-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	FXYD4	gene
kidney-->renal medulla-->inner medulla of kidney-->Descending Vasa Recta	vasa recta descending limb cell	CL:1001285	Descending Vasa Recta Endothelial Cell	SERPINE2	gene
