Organ,Organ_ID,FTU Label in Uberon,FTU ID in Uberon,CL_ID,CT Label,azimuth,celltypist,popv
Kidney,UBERON_0002113,Cortical Collecting Duct,UBERON:0004203,CL:4030021,kidney collecting duct beta-intercalated cell,0,0,0
Kidney,UBERON_0002113,Cortical Collecting Duct,UBERON:0004203,CL:4030020,kidney collecting duct alpha-intercalated cell,1,0,0
Kidney,UBERON_0002113,Cortical Collecting Duct,UBERON:0004203,CL:1001033,peritubular capillary endothelial cell,1,1,0
Kidney,UBERON_0002113,Cortical Collecting Duct,UBERON:0004203,CL:1000714,kidney cortex collecting duct principal cell,1,0,0
Kidney,UBERON_0002113,Outer Medullary Collecting Duct,UBERON:0004204,CL:1000717,kidney outer medulla collecting duct intercalated cell,1,0,0
Kidney,UBERON_0002113,Outer Medullary Collecting Duct,UBERON:0004204,CL:1000716,kidney outer medulla collecting duct principal cell,1,0,0
Kidney,UBERON_0002113,Outer Medullary Collecting Duct,UBERON:0004204,CL:1001033,peritubular capillary endothelial cell,1,1,0
Kidney,UBERON_0002113,Inner Medullary Collecting Duct,UBERON:0004204,CL:1000718,kidney inner medulla collecting duct principal cell,1,0,0
Kidney,UBERON_0002113,Inner Medullary Collecting Duct,UBERON:0004205,CL:1001033,peritubular capillary endothelial cell,1,1,0
Kidney,UBERON_0002113,Thick Ascending Limb Of Loop Of Henle,UBERON:0001291,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,1,1,0
Kidney,UBERON_0002113,Thick Ascending Limb Of Loop Of Henle,UBERON:0001291,CL:1001033,peritubular capillary endothelial cell,1,1,0
Kidney,UBERON_0002113,Descending Limb of Loop of Henle,UBERON:0001289,CL:1001111,kidney loop of Henle thin descending limb epithelial cell,1,1,0
Kidney,UBERON_0002113,Descending Limb of Loop of Henle,UBERON:0001289,CL:1001285,vasa recta descending limb cell,1,1,0
Kidney,UBERON_0002113,Loop Of Henle Ascending Limb Thin Segment,UBERON:0004193,CL:1001107,kidney loop of Henle thin ascending limb epithelial cell,1,1,0
Kidney,UBERON_0002113,Loop Of Henle Ascending Limb Thin Segment,UBERON:0004193,CL:1001131,vasa recta ascending limb cell,1,1,0
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:4030009,epithelial cell of proximal tubule segment 1,1,0,0
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1000849,kidney distal convoluted tubule epithelial cell,1,1,0
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1000768,kidney connecting tubule epithelial cell,1,1,0
Kidney,UBERON_0002113,Nephron,UBERON:0001291,CL:1000850,macula densa epithelial cell,1,0,0
