Organ,FTU Label in Uberon,FTU ID in Uberon,CL_ID,CL_Label_FTU,popv,celltypist_L1,celltypist_pkl,azimuth_L1,azimuth_L2,azimuth_L3,azimuth_L4,azimuth_L5
Kidney,Cortical Collecting Duct,UBERON:0004203,CL:4030021,kidney collecting duct beta-intercalated cell,0,0,0,0,0,0,0,0
Kidney,Cortical Collecting Duct,UBERON:0004203,CL:4030020,kidney collecting duct alpha-intercalated cell,0,0,0,1,1,1,1,1
Kidney,Cortical Collecting Duct,UBERON:0004203,CL:1001033,peritubular capillary endothelial cell,0,1,1,1,1,1,1,1
Kidney,Cortical Collecting Duct,UBERON:0004203,CL:1000714,kidney cortex collecting duct principal cell,0,0,0,1,1,1,1,1
Kidney,Outer Medullary Collecting Duct,UBERON:0004204,CL:1000717,kidney outer medulla collecting duct intercalated cell,0,0,0,1,1,1,1,1
Kidney,Outer Medullary Collecting Duct,UBERON:0004204,CL:1000716,kidney outer medulla collecting duct principal cell,0,0,0,1,1,1,1,1
Kidney,Outer Medullary Collecting Duct,UBERON:0004204,CL:1001033,peritubular capillary endothelial cell,0,1,1,1,1,1,1,1
Kidney,Inner Medullary Collecting Duct,UBERON:0004204,CL:1000718,kidney inner medulla collecting duct principal cell,0,0,0,1,1,1,1,1
Kidney,Inner Medullary Collecting Duct,UBERON:0004205,CL:1001033,peritubular capillary endothelial cell,0,1,1,1,1,1,1,1
Kidney,Thick Ascending Limb Of Loop Of Henle,UBERON:0001291,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,0,1,1,1,1,1,1,1
Kidney,Thick Ascending Limb Of Loop Of Henle,UBERON:0001291,CL:1001033,peritubular capillary endothelial cell,0,1,1,1,1,1,1,1
Kidney,Descending Limb of Loop of Henle,UBERON:0001289,CL:1001111,kidney loop of Henle thin descending limb epithelial cell,0,1,1,1,1,1,1,1
Kidney,Descending Limb of Loop of Henle,UBERON:0001289,CL:1001285,vasa recta descending limb cell,0,1,1,1,1,1,1,1
Kidney,Loop Of Henle Ascending Limb Thin Segment,UBERON:0004193,CL:1001107,kidney loop of Henle thin ascending limb epithelial cell,0,1,1,1,1,1,1,1
Kidney,Loop Of Henle Ascending Limb Thin Segment,UBERON:0004193,CL:1001131,vasa recta ascending limb cell,0,1,1,1,1,1,1,1
Kidney,Nephron,UBERON:0001285,UBERON:0004203,cortical collecting duct,0,0,0,0,0,0,0,0
Kidney,Nephron,UBERON:0001285,UBERON:0001290,proximal straight tubule,0,0,0,0,0,0,0,0
Kidney,Nephron,UBERON:0001291,UBERON:0004197,proximal convoluted tubule segment 2,0,0,0,0,0,0,0,0
Kidney,Nephron,UBERON:0001291,UBERON:0004196,proximal convoluted tubule segment 1,0,0,0,0,0,0,0,0
Kidney,Nephron,UBERON:0001291,CL:4030009,epithelial cell of proximal tubule segment 1,0,0,0,1,1,1,1,1
Kidney,Nephron,UBERON:0001291,UBERON:0001292,distal convoluted tubule,0,0,0,0,0,0,0,0
Kidney,Nephron,UBERON:0001291,CL:1000849,kidney distal convoluted tubule epithelial cell,0,1,1,1,1,1,1,1
Kidney,Nephron,UBERON:0001291,UBERON:0005097,renal connecting tubule,0,0,0,0,0,0,0,0
Kidney,Nephron,UBERON:0001291,CL:1000768,kidney connecting tubule epithelial cell,0,1,1,1,1,1,1,1
Kidney,Nephron,UBERON:0001291,CL:1000850,macula densa epithelial cell,0,0,0,1,1,1,1,1
Kidney,Nephron,UBERON:0001291,UBERON:0001291,thick ascending limb of loop of Henle,0,0,0,0,0,0,0,0
Kidney,Nephron,UBERON:0001291,UBERON:0004193,loop of Henle ascending limb thin segment,0,0,0,0,0,0,0,0
Kidney,Nephron,UBERON:0001291,UBERON:0005096,descending thin limb,0,0,0,0,0,0,0,0
Kidney,Nephron,UBERON:0001291,CL:1000718,kidney inner medulla collecting duct,0,0,0,1,1,1,1,1
Kidney,Nephron,UBERON:0001291,UBERON:0001229,Renal Corpuscle,0,0,0,0,0,0,0,0
Kidney,Nephron,UBERON:0001291,CL:1001107,kidney loop of Henle thin ascending limb epithelial cell,0,1,1,1,1,1,1,1
Kidney,Nephron,UBERON:0001291,CL:1001111,kidney loop of Henle thin descending limb epithelial cell,0,1,1,1,1,1,1,1
Kidney,Nephron,UBERON:0001291,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,0,1,1,1,1,1,1,1
Kidney,Nephron,UBERON:0001291,CL:1000714,kidney cortex collecting duct principal cell,0,0,0,1,1,1,1,1
Kidney,Nephron,UBERON:0001291,CL:1000716,kidney outer medulla collecting duct principal cell,0,0,0,1,1,1,1,1
Kidney,Renal Corpuscle,UBERON:0001229,CL:1000742,glomerular mesangial cell,0,0,0,0,0,0,0,0
Kidney,Renal Corpuscle,UBERON:0001229,CL:0000653,podocyte,0,1,1,1,1,1,1,1
Kidney,Renal Corpuscle,UBERON:0001229,CL:0002306,epithelial cell of proximal tubule,0,1,1,1,1,1,1,1
Kidney,Renal Corpuscle,UBERON:0001229,CL:1001005,glomerular capillary endothelial cell,0,1,1,1,1,1,1,1
Kidney,Renal Corpuscle,UBERON:0001229,CL:1001099,efferent arteriole endothelial cell,0,0,0,0,0,0,0,0
Kidney,Renal Corpuscle,UBERON:0001229,CL:1000452,parietal epithelial cell,0,1,1,1,1,1,1,1
Kidney,Renal Corpuscle,UBERON:0001229,CL:1001096,kidney afferent arteriole endothelial cell,0,0,0,0,0,0,0,0
Kidney,Renal Corpuscle,UBERON:0001229,CL:1000850,macula densa epithelial cell,0,0,0,1,1,1,1,1
Large Intestine,Crypt Of Lieberkuhn,UBERON:0001984,CL:1000321,large intestine crypt goblet cell,0,0,0,0,0,0,0,0
Large Intestine,Crypt Of Lieberkuhn,UBERON:0001984,CL:0002071,enterocyte of epithelium of large intestine,1,0,0,0,0,0,0,0
Large Intestine,Crypt Of Lieberkuhn,UBERON:0001984,CL:0000165,neuroendocrine cell,0,0,0,0,0,0,0,0
Large Intestine,Crypt Of Lieberkuhn,UBERON:0001984,CL:0009016,intestinal crypt stem cell of large intestine,1,0,0,0,0,0,0,0
Large Intestine,Crypt Of Lieberkuhn,UBERON:0001984,CL:0019032,intestinal tuft cell,1,0,0,0,0,0,0,0
Liver,Liver Lobule,UBERON:0004647,CL:0009100,hepatic portal fibroblast,0,0,0,1,1,1,1,1
Liver,Liver Lobule,UBERON:0004647,CL:0019018,blood vessel smooth muscle cell,0,0,0,0,0,0,0,0
Liver,Liver Lobule,UBERON:0004647,CL:1000413,endothelial cell of artery,1,1,1,1,1,1,1,1
Liver,Liver Lobule,UBERON:0004647,CL:0000241,stratified cuboidal epithelial cell,0,0,0,0,0,0,0,0
Liver,Liver Lobule,UBERON:0004647,CL:0000075,columnar/cuboidal epithelial cell,0,0,0,0,0,0,0,0
Liver,Liver Lobule,UBERON:0004647,CL:0002543,vein endothelial cell,1,1,1,1,1,1,1,1
Liver,Liver Lobule,UBERON:0004647,CL:0002196,Hepatic oval stem cell,0,0,0,0,0,0,0,0
Liver,Liver Lobule,UBERON:0004647,CL:1000398,endothelial cell of hepatic sinusoid,1,0,0,1,1,1,1,1
Liver,Liver Lobule,UBERON:0004647,CL:0000632,hepatic stellate cell,0,1,1,1,1,1,1,1
Liver,Liver Lobule,UBERON:0004647,CL:0000091,Kupffer Cell,0,0,0,0,0,0,0,0
Liver,Liver Lobule,UBERON:0004647,CL:0000182,hepatocyte,1,1,1,1,1,1,1,1
Lung,Bronchial Submucosal Gland,UBERON 8410043,CL:4033055,airway submucosal gland duct ciliated cell,0,0,0,0,0,0,0,0
