ftu,table,ftu_label,as_label,ct_label,bm_label,ftu_as,as,ct,bm,bmType
https://purl.humanatlas.io/2d-ftu/kidney-ascending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney ascending thin loop of henle,,,,http://purl.obolibrary.org/obo/UBERON_0004193,,,,
https://purl.humanatlas.io/2d-ftu/kidney-cortical-collecting-duct,https://purl.humanatlas.io/asct-b/kidney,kidney cortical collecting duct,,,,http://purl.obolibrary.org/obo/UBERON_0004203,,,,
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,SPP1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/11255,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,CDH1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/1748,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,CRYAB,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/2389,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,VIM,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/12692,protein
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,SATB2,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/21637,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,VCAM1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/12663,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle,Descending Thin Limb Cell,SLC44A5,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005096,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/28524,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 1,Descending Thin Limb Cell Type 1,SPP1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005099,http://purl.obolibrary.org/obo/CL_4030012,http://identifiers.org/hgnc/11255,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 1,Descending Thin Limb Cell Type 1,TACSTD2,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005099,http://purl.obolibrary.org/obo/CL_4030012,http://identifiers.org/hgnc/11530,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 1,Descending Thin Limb Cell Type 1,CRYAB,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005099,http://purl.obolibrary.org/obo/CL_4030012,http://identifiers.org/hgnc/2389,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 1,Descending Thin Limb Cell Type 1,JAG1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005099,http://purl.obolibrary.org/obo/CL_4030012,http://identifiers.org/hgnc/6188,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 1,Descending Thin Limb Cell Type 1,SLC14A2,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005099,http://purl.obolibrary.org/obo/CL_4030012,http://identifiers.org/hgnc/10919,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 1,Descending Thin Limb Cell Type 1,SATB2,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005099,http://purl.obolibrary.org/obo/CL_4030012,http://identifiers.org/hgnc/21637,gene
